1671178811008|3|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT version()|SELECT version()
1671178811011|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT version()|SELECT version()
1671178811015|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SHOW search_path|SHOW search_path
1671178811017|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT CURRENT_USER|SELECT CURRENT_USER
1671178811019|2|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT current_schema|SELECT current_schema
1671178811021|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SHOW search_path|SHOW search_path
1671178811022|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT current_schema|SELECT current_schema
1671178811023|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SHOW search_path|SHOW search_path
1671178811024|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT current_user|SELECT current_user
1671178811032|5|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT COUNT(*) FROM pg_namespace WHERE nspname=?|SELECT COUNT(*) FROM pg_namespace WHERE nspname='public'
1671178811039|2|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SET ROLE 'duke'|SET ROLE 'duke'
1671178811041|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT EXISTS (   SELECT 1   FROM   pg_catalog.pg_class c   JOIN   pg_catalog.pg_namespace n ON n.oid = c.relnamespace   WHERE  n.nspname = ?   AND    c.relname = ?   AND    c.relkind = 'r' )|SELECT EXISTS (   SELECT 1   FROM   pg_catalog.pg_class c   JOIN   pg_catalog.pg_namespace n ON n.oid = c.relnamespace   WHERE  n.nspname = 'public'   AND    c.relname = 'flyway_schema_history'   AND    c.relkind = 'r' )
1671178811044|1|commit|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test||
1671178811046|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT COUNT(*) FROM pg_namespace WHERE nspname=?|SELECT COUNT(*) FROM pg_namespace WHERE nspname='public'
1671178811047|1|commit|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test||
1671178811048|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SET ROLE 'duke'|SET ROLE 'duke'
1671178811051|2|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT EXISTS (   SELECT 1   FROM   pg_catalog.pg_class c   JOIN   pg_catalog.pg_namespace n ON n.oid = c.relnamespace   WHERE  n.nspname = ?   AND    c.relname = ?   AND    c.relkind = 'r' )|SELECT EXISTS (   SELECT 1   FROM   pg_catalog.pg_class c   JOIN   pg_catalog.pg_namespace n ON n.oid = c.relnamespace   WHERE  n.nspname = 'public'   AND    c.relname = 'flyway_schema_history'   AND    c.relkind = 'r' )
1671178811052|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT COUNT(*) FROM pg_namespace WHERE nspname=?|SELECT COUNT(*) FROM pg_namespace WHERE nspname='public'
1671178811060|7|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT EXISTS (     SELECT c.oid FROM pg_catalog.pg_class c     JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace     LEFT JOIN pg_catalog.pg_depend d ON d.objid = c.oid AND d.deptype = 'e'     WHERE  n.nspname = ? AND d.objid IS NULL AND c.relkind IN ('r', 'v', 'S', 't')   UNION ALL     SELECT t.oid FROM pg_catalog.pg_type t     JOIN pg_catalog.pg_namespace n ON n.oid = t.typnamespace     LEFT JOIN pg_catalog.pg_depend d ON d.objid = t.oid AND d.deptype = 'e'     WHERE n.nspname = ? AND d.objid IS NULL AND t.typcategory NOT IN ('A', 'C')   UNION ALL     SELECT p.oid FROM pg_catalog.pg_proc p     JOIN pg_catalog.pg_namespace n ON n.oid = p.pronamespace     LEFT JOIN pg_catalog.pg_depend d ON d.objid = p.oid AND d.deptype = 'e'     WHERE n.nspname = ? AND d.objid IS NULL )|SELECT EXISTS (     SELECT c.oid FROM pg_catalog.pg_class c     JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace     LEFT JOIN pg_catalog.pg_depend d ON d.objid = c.oid AND d.deptype = 'e'     WHERE  n.nspname = 'public' AND d.objid IS NULL AND c.relkind IN ('r', 'v', 'S', 't')   UNION ALL     SELECT t.oid FROM pg_catalog.pg_type t     JOIN pg_catalog.pg_namespace n ON n.oid = t.typnamespace     LEFT JOIN pg_catalog.pg_depend d ON d.objid = t.oid AND d.deptype = 'e'     WHERE n.nspname = 'public' AND d.objid IS NULL AND t.typcategory NOT IN ('A', 'C')   UNION ALL     SELECT p.oid FROM pg_catalog.pg_proc p     JOIN pg_catalog.pg_namespace n ON n.oid = p.pronamespace     LEFT JOIN pg_catalog.pg_depend d ON d.objid = p.oid AND d.deptype = 'e'     WHERE n.nspname = 'public' AND d.objid IS NULL )
1671178811062|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SELECT pg_try_advisory_xact_lock(77433833903597)|SELECT pg_try_advisory_xact_lock(77433833903597)
1671178811063|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:58818/test|SET ROLE 'duke'|SET ROLE 'duke'
